SchoolCode,GPAcoef,SATcoef,Intercept,Weight,College
H:213543,8.26342679,0.00704943,-37.87395,1,Lehigh University
B:164924,5.6986106,0.01344089,-37.949691,1,Boston College
H:149231,3.41866898,0.01912427,-25.931352,1,Southern Illinois University-Edwardsville
H:216287,3.6281909,0.01857509,-39.119379,1,Swarthmore College
B:178615,5.62508219,0.01353776,-30.517982,1,Truman State University
H:153603,7.13087231,0.0094921,-28.707274,1,Iowa State University
H:147341,7.45532282,0.00864932,-27.471692,1,Monmouth College
W:147767,4.28572973,0.01651924,-39.798872,1,Northwestern University
B:206589,5.87465342,0.01249009,-33.192673,1,The College of Wooster
B:141060,4.23113469,0.01650401,-31.171209,1,"Spelman College (HBCU, Female only)"
B:148496,4.98989061,0.0145735,-27.052845,1,Dominican University
H:202480,7.46440935,0.00837303,-29.510906,1,University of Dayton
H:143118,3.02973383,0.01940276,-26.492762,1,Aurora University
B:144962,4.0230164,0.01679666,-25.51407,1,Elmhurst College
B:102377,3.564125,0.01792309,-23.74874,1,Tuskegee University (HBCU)
B:146481,5.48049537,0.01302349,-31.862345,1,Lake Forest College
H:186131,6.71077432,0.00977803,-41.671975,1,Princeton University
B:221759,-0.8167494,0.02848433,-27.647105,1,The University of Tennessee-Knoxville
H:154095,4.87698669,0.01423764,-26.975153,1,University of Northern Iowa
B:145691,6.21867564,0.01076912,-27.009331,1,Illinois College
B:127060,4.36319481,0.01532988,-32.273482,1,University of Denver
B:123961,3.99251787,0.01617542,-37.402812,1,University of Southern California
H:178615,6.50571241,0.00979612,-28.625534,1,Truman State University
B:238476,2.3083136,0.02026667,-23.519237,1,Carthage College
H:243744,10.1452214,0.00062063,-44.189698,1,Stanford University
B:140553,4.92469088,0.01362953,-24.331019,1,"Morehouse College (HBCU, Male only)"
B:170301,4.90214366,0.01367843,-31.831461,1,Hope College
H:131496,4.53757244,0.01453331,-37.639844,1,Georgetown University
H:170532,8.0431229,0.00570905,-33.847215,1,Kalamazoo College
H:145646,4.39654428,0.01465952,-30.327059,1,Illinois Wesleyan University
B:219709,2.34358325,0.01951832,-26.313219,1,Belmont University
B:149772,5.06038512,0.01264314,-23.170182,1,Western Illinois University
H:143358,5.45167894,0.01136885,-27.149487,1,Bradley University
B:213668,4.29168009,0.0142354,-28.159302,1,Lycoming College
B:175342,3.60586389,0.01594405,-22.040513,1,Alcorn State University (HBCU)
B:152600,5.57090487,0.0109998,-27.168666,1,Valparaiso University
H:239628,7.31975389,0.00648333,-25.845071,1,Ripon College
B:147341,6.01490437,0.00974391,-24.747585,1,Monmouth College
H:174844,5.85801679,0.0100996,-32.096477,1,St Olaf College
H:169248,5.57580674,0.0107743,-23.392602,1,Central Michigan University
W:145600,5.63144352,0.01049865,-25.444688,1,University of Illinois at Chicago
H:204796,4.27238898,0.01380703,-31.209972,1,Ohio State University-Main Campus
H:179867,3.31959669,0.01616501,-35.390906,1,Washington University in St Louis
B:150136,6.17272148,0.0089668,-24.602225,1,Ball State University
B:139658,4.81631971,0.01231409,-34.06559,1,Emory University
H:153384,3.80392981,0.01451566,-33.350785,1,Grinnell College
B:199120,6.69899892,0.00725794,-34.851973,1,University of North Carolina at Chapel Hill
H:150163,4.96288896,0.01152592,-28.018706,1,Butler University
B:131496,4.58455552,0.01242932,-34.799944,1,Georgetown University
H:147660,6.22511846,0.00825558,-25.662478,1,North Central College
B:238458,1.1153813,0.02097853,-22.596704,1,Carroll University
B:148654,3.31938551,0.01542884,-21.987669,1,University of Illinois at Springfield
H:168546,5.72775741,0.00922261,-24.099553,1,Albion College
B:146676,4.11680356,0.01305481,-18.818379,1,Lincoln College
B:198507,1.42382459,0.01956601,-20.404977,1,Elizabeth City State University (HBCU)
B:149231,2.58523379,0.01665622,-21.325512,1,Southern Illinois University-Edwardsville
B:239628,6.42307094,0.00701641,-23.473878,1,Ripon College
B:147679,4.79186002,0.01105987,-21.540696,1,North Park University
B:144740,4.6576743,0.01135914,-24.585575,1,DePaul University
H:147776,5.15060248,0.01002773,-19.243587,1,Northeastern Illinois University
B:234076,6.95195726,0.00548518,-32.502971,1,University of Virginia-Main Campus
B:204501,3.56422195,0.01363967,-31.368808,1,Oberlin College
H:150400,4.98676561,0.01005089,-27.614442,1,DePauw University
B:161086,6.25924138,0.0068647,-33.739808,1,Colby College
B:170976,4.55582753,0.01111079,-29.69537,1,University of Michigan-Ann Arbor
B:164988,2.39789224,0.01646374,-31.113466,1,Boston University
B:179867,3.74120754,0.01301777,-31.610597,1,Washington University in St Louis
B:154493,2.15965057,0.01696296,-17.888227,1,Upper Iowa University
H:145691,6.28766992,0.00663828,-23.767673,1,Illinois College
H:122612,5.02489869,0.00976409,-27.376558,1,University of San Francisco
H:121345,5.53294805,0.00827146,-34.099684,1,Pomona College
H:212577,4.67065125,0.01033287,-31.098257,1,Franklin and Marshall College
H:144281,5.89460284,0.00726797,-20.050204,1,Columbia College Chicago
B:146612,4.06698232,0.01175271,-21.425175,1,Lewis University
H:152080,7.28075332,0.00370924,-34.86276,1,University of Notre Dame
H:144892,4.96628575,0.00928546,-20.911762,1,Eastern Illinois University
B:148627,4.41339832,0.01057979,-20.415175,1,Saint Xavier University
H:139658,4.60914336,0.00996304,-30.309708,1,Emory University
H:146612,4.68166677,0.0097578,-20.96906,1,Lewis University
B:133650,0.65030842,0.01977585,-21.805297,1,Florida Agricultural and Mechanical University (HBCU)
B:158802,2.60253099,0.01484185,-19.109657,1,Dillard University (HBCU)
B:203535,6.00892031,0.00630256,-31.567248,1,Kenyon College
H:144351,3.41605497,0.01270365,-19.969596,1,Concordia University-Chicago
B:221999,3.80053883,0.01171441,-31.25955,1,Vanderbilt University
B:240444,5.44406983,0.00747613,-26.896699,1,University of Wisconsin-Madison
B:175856,3.12463628,0.01322509,-18.358641,1,Jackson State University (HBCU)
H:137847,4.67074986,0.00928741,-23.317875,1,The University of Tampa
B:240453,5.1443774,0.00800332,-19.786418,1,University of Wisconsin-Milwaukee
H:179159,3.12850119,0.01300768,-21.238059,1,Saint Louis University
B:154527,4.25329767,0.01018834,-20.066836,1,Wartburg College
H:153278,6.91971725,0.00346993,-14.990393,1,University of Dubuque
B:150163,2.08621595,0.0153828,-23.242925,1,Butler University
H:123961,7.87072108,0.00091394,-33.131121,1,University of Southern California
B:157058,6.46442466,0.00437187,-18.584443,1,Kentucky State University (HBCU)
H:198385,5.17229679,0.00757642,-29.754636,1,Davidson College
H:213385,5.74812925,0.00603964,-30.139661,1,Lafayette College
B:147776,4.40938874,0.0093553,-16.923971,1,Northeastern Illinois University
H:168148,3.21852463,0.01224445,-29.627202,1,Tufts University
B:143084,5.60729613,0.0062363,-22.216724,1,Augustana College
H:206589,4.94002689,0.00785166,-25.14949,1,The College of Wooster
B:174844,4.09727649,0.00995752,-24.985563,1,St Olaf College
H:213668,4.41720828,0.00911779,-23.459385,1,Lycoming College
H:173902,4.71915717,0.00832438,-28.175826,1,Macalester College
B:232265,5.68675745,0.005804,-18.468118,1,Hampton University (HBCU)
H:204501,3.83993902,0.01039904,-28.851531,1,Oberlin College
B:199102,4.39080706,0.00893254,-22.411871,1,North Carolina A & T State University (HBCU)
B:206622,5.56647346,0.00587581,-19.353771,1,Xavier University
B:199607,5.47035003,0.00602469,-20.325554,1,Salem College (Female only)
B:163453,1.79505412,0.01519988,-16.57866,1,Morgan State University (HBCU)
B:221351,1.99466238,0.01440847,-24.894375,1,Rhodes College
B:209551,7.00479783,0.00182163,-22.68899,1,University of Oregon
B:179159,4.70034252,0.00753213,-19.769672,1,Saint Louis University
B:153384,3.92795216,0.0093414,-27.104343,1,Grinnell College
H:190099,5.56518896,0.00522768,-28.266117,1,Colgate University
B:153269,3.65993983,0.00998665,-19.080516,1,Drake University
B:144351,2.45419968,0.01279394,-17.383177,1,Concordia University-Chicago
B:113698,5.96996945,0.00381573,-20.424222,1,Dominican University of California
B:144281,5.71799036,0.00444392,-16.593039,1,Columbia College Chicago
B:231174,5.53485357,0.00487321,-22.102824,1,University of Vermont
B:196413,3.12894658,0.01087732,-23.831234,1,Syracuse University
H:182670,3.90241639,0.00889689,-28.511533,1,Dartmouth College
H:143084,4.78073647,0.00668164,-20.898116,1,Augustana College
H:130590,5.08940185,0.00585835,-27.159851,1,Trinity College
B:153621,1.75553543,0.01415352,-15.119359,1,Iowa Wesleyan University
H:154493,2.83350179,0.011361,-15.367799,1,Upper Iowa University
H:128902,5.76128631,0.00404134,-26.783356,1,Connecticut College
B:162007,5.60987919,0.00434097,-18.334218,1,Bowie State University (HBCU)
B:168546,4.06499261,0.00805646,-18.282947,1,Albion College
B:150400,3.6667076,0.00904044,-21.659296,1,DePauw University
H:146676,4.06323384,0.00796293,-14.153581,1,Lincoln College
B:143358,4.67454569,0.00625285,-19.501536,1,Bradley University
H:164988,3.64661809,0.00853184,-26.21352,1,Boston University
B:145646,3.43746924,0.00900882,-20.101519,1,Illinois Wesleyan University
B:159391,5.77562256,0.00313127,-18.988546,1,Louisiana State University and Agricultural & Mechanical College
B:153603,4.80141548,0.00552055,-17.913096,1,Iowa State University
B:145336,3.52201439,0.00858864,-14.932094,1,Governors State University
H:221519,5.25913128,0.00405389,-24.905588,1,The University of the South
H:176965,4.20828607,0.00655131,-16.604184,1,University of Central Missouri
H:231174,5.26315808,0.00390189,-20.834681,1,University of Vermont
B:138947,3.33033525,0.0087132,-16.036366,1,Clark Atlanta University (HBCU)
B:239105,3.57391441,0.00801235,-19.309094,1,Marquette University
H:196413,4.097453,0.0066079,-22.340685,1,Syracuse University
H:238333,4.6612852,0.00504496,-19.982051,1,Beloit College
H:203535,4.56679353,0.00526829,-24.351458,1,Kenyon College
H:151351,5.59278331,0.00268284,-20.423363,1,Indiana University-Bloomington
B:147660,3.24358709,0.0083334,-17.075534,1,North Central College
H:202523,4.24795543,0.00560025,-21.557251,1,Denison University
B:149222,1.85059709,0.01150598,-14.554707,1,Southern Illinois University-Carbondale
H:153621,3.57596226,0.00717322,-14.059569,1,Iowa Wesleyan University
H:147703,4.11511144,0.00581463,-15.624033,1,Northern Illinois University
B:202523,3.4248441,0.00747232,-20.995573,1,Denison University
W:170976,3.29054611,0.00738485,-22.04307,1,University of Michigan-Ann Arbor
W:202523,3.22293537,0.00755136,-20.233932,1,Denison University
H:211291,6.0318331,0.00019529,-23.683866,1,Bucknell University
B:160904,2.65125332,0.00864157,-13.442579,1,Xavier University of Louisiana (HBCU)
B:144050,1.41980519,0.01168806,-20.899847,1,University of Chicago
H:173258,4.04895575,0.00506679,-22.482691,1,Carleton College
H:217156,4.62132962,0.00355928,-24.166438,1,Brown University
B:204857,4.51640548,0.0038093,-16.027897,1,Ohio University-Main Campus
B:212009,2.69685055,0.00823822,-20.546505,1,Dickinson College
B:144005,2.34364578,0.00885881,-12.253634,1,Chicago State University
H:234076,4.22436024,0.00414475,-21.831345,1,University of Virginia-Main Campus
B:203368,4.74775397,0.00279593,-14.911562,1,John Carroll University
B:238333,5.47436573,0.00094932,-17.095474,1,Beloit College
H:212674,5.69135973,0.00037312,-21.046741,1,Gettysburg College
H:195030,4.22341817,0.00376153,-20.309086,1,University of Rochester
B:153278,4.81455186,0.00224088,-9.2429129,1,University of Dubuque
H:126678,2.91782606,0.0066323,-20.623017,1,Colorado College
B:139940,2.63117347,0.00715083,-13.759456,1,Georgia State University
B:147536,5.14665079,0.00069411,-8.465402,1,National Louis University
B:193900,0.99594226,0.01071703,-17.112201,1,New York University
B:203517,3.45077203,0.00455727,-13.18135,1,Kent State University at Kent
B:147703,3.07257335,0.0053845,-12.103919,1,Northern Illinois University
B:138600,2.93186286,0.00536415,-14.651768,1,Agnes Scott College (Female only)
W:174844,2.32901863,0.00668662,-16.04467,1,St Olaf College
B:148487,1.36834933,0.00902572,-10.936389,1,Roosevelt University
B:100724,2.79988842,0.00541494,-9.4853644,1,Alabama State University (HBCU)
B:121345,3.80671641,0.00267551,-19.227313,1,Pomona College
B:151263,3.65534989,0.0028066,-11.686489,1,University of Indianapolis
H:148487,2.13084567,0.00632413,-10.037826,1,Roosevelt University
B:151351,2.80916892,0.00439641,-12.254989,1,Indiana University-Bloomington
H:171100,3.12900216,0.00346922,-12.491591,1,Michigan State University
B:212674,4.28395148,0.00029026,-16.175793,1,Gettysburg College
H:203517,2.52397341,0.00460871,-11.295266,1,Kent State University at Kent
H:147536,3.85423807,0.00064056,-6.6603695,1,National Louis University
H:212009,2.34921446,0.00407056,-14.861997,1,Dickinson College
H:144005,1.69135629,0.00567553,-8.7387152,1,Chicago State University
B:151111,2.95872207,0.00228996,-9.9467155,1,Indiana University-Purdue University-Indianapolis
B:160621,1.83713441,0.00494171,-8.679314,1,Southern University and A & M College (HBCU)
H:195526,2.47935941,0.00332945,-15.360472,1,Skidmore College
B:131469,2.65138075,0.00264625,-12.449108,1,George Washington University
B:163286,1.98722942,0.0041037,-11.390402,1,University of Maryland-College Park
H:156295,2.60174752,0.00238981,-11.890166,1,Berea College
B:171100,2.53183022,0.00251924,-8.4606112,1,Michigan State University
B:220181,3.00991527,0.00130553,-7.3455823,1,Fisk University (HBCU)
H:190415,1.14105958,0.00588185,-13.76693,1,Cornell University
B:239318,1.61763191,0.00409904,-9.2595156,1,Milwaukee School of Engineering
B:112260,2.28398254,0.00218321,-12.322306,1,Claremont McKenna College
H:153162,2.53096361,0.00147159,-7.0868897,1,Cornell College
H:143048,1.71755545,0.00329027,-8.8412014,1,School of the Art Institute of Chicago
B:130590,2.6129246,0.00094918,-12.128613,1,Trinity College
B:156295,1.82270344,0.00279997,-9.411154,1,Berea College
B:176080,0.34105234,0.00643621,-5.4111919,1,Mississippi State University
B:204024,2.13620623,0.0017873,-7.3801277,1,Miami University-Oxford
H:144050,1.17964637,0.00409735,-11.34463,1,University of Chicago
B:212577,1.58214546,0.00287286,-9.839219,1,Franklin and Marshall College
B:Arrupe,1.84458487,0.00123817,-5.540778,1,Arrupe College (Loyola)
H:Arrupe,1.91683784,0.00101552,-5.8225305,1,Arrupe College (Loyola)
B:126678,1.20120921,0.0020548,-7.8701695,1,Colorado College
H:148335,1.43590621,0.00045841,-2.2705016,1,Robert Morris University Illinois
B:243780,1.1921117,0.00036851,-4.4046255,1,Purdue University-Main Campus
